,long,short
0,f14uhu5hiqo4p3le4fszjzkfpk7y2eobnvjcz5e7i,"f01920150
"
1,f1dgd6amat67gotnq7ech3yctiijhwcah2wn3j3cy,"f093072
"
2,f1ybjdj6yh3cb6ltslejecyx7gosgngjwv6ld2nwi,"f01919583
"
3,f1wet6zhekppz4g7x7qgtp524smrolkmcac3o7xgq,"f034038
"
4,f1jvvltduw35u6inn5tr4nfualyd42bh3vjtylgci,"f01841173
"
5,f3wvjvz5yay332ibhacepr6juebwbralmlyhjlq5b5hpt5pgljdtbmfxk42frdwrqewbaikhgz65ztv2vdde2q,"f01814836
"
6,f3quokedm6cwko7nuiubv7wywa6edbryda3bwwfobivfimj2nhtsff25iqfagsoiuact7437rphjrfo7qoycyq,"f034045
"
7,f1fg6jkxsr3twfnyhdlatmq36xca6sshptscds7xa,"f01818099
"
8,f1rw76pc3bg2obkzgz4zb62nssjq4szwia6vb5vly,"f030720
"
9,f3uqltfzgoauastv6hltgcjhf7y74jj5vevpy7a2hwsrnv6sxzwkpy3pdjzzgwqd7pv75mn77clwztqx62fqwq,"f0114434
"
10,f3uwqu37dt23c5kijeacqgqb3unk364fzprl4zcyjfrow53uwwcy2dhyue423pvxa24xsvlphk7a7awvyfchdq,"f019559
"
11,f3vvyvfsehpdtihck4tu7dy6xljd7wehkyacf5ln5ym6wwjptrhrazyr3f3c3zgb23ig7fvg2eibjydfiteegq,"f01484067
"
12,f3syukuirby5qf4y457rccroxwoe66jhjdtacemm3i62363yxmby2leyuin527fxc2jozozu5mr5ab7ytuzleq,"f0223842
"
13,f3wttj66ouizyd6zbpjlrnl73z2qbqj3zae2uifel2uyppzvbpo7hsoacwwl63szuevgbez2jkwa6lwj4ylasa,"f01315375
"
14,f3rdq7aqywltztmrwi3pfho7fdm4m4gttctayooparb5my2usktcpuoopb26pjezg4en6vbwdfkfomtw3aamda,"f08074
"
15,f3u57zp2e5hexxw7el2dym23n6if3vmex7flj3pntw2zsr6vxr3ckpaacylxpslv2h5gvtvf3g447moh47lm6q,"f01275160
"
16,f3tc5xobom4isztyntz6mmxvyvxlxzvjy4plmtiejdbwpu2evefdjr3ln726hdkxox2e7rahaksxz4vqdhzg6q,"f01864423
"
17,f3r7c4oilrb4t5ucc6m3dmq6cxu3psfd4hoc4pmopvmepimqy5kns3s52rnksqfrmgj5u6zn6t3yj4olbpp6ea,"f01746938
"
18,f3reoavg7trkhbybttwnfes65wvzm7c3bprvfbjyqoaj4fuoqeoszcpv5etju7fvq6gb5tanuhsvbyhmldl7pq,"f0107696
"
19,f15lc7y6zu26zgjjnklkxnmetmy644357pkaa3edi,"f044120
"
20,f1dnfppjrehzwrj6jpsxfxvvyfyjtjfa5gp6rgvkq,"f01104653
"
21,f1tfg54zzscugttejv336vivknmsnzzmyudp3t7wi,"f01877808
"
22,f154r4j5c6lrbdxecy5ywvqwpji7dl3y4jsg45ffq,"f01066962
"
23,f16cfm3a3247siwofdlzd5ep7ntmcvumyoq6di3bi,"f01071745
"
24,f3snlszv64qe66ajdjswcvctspv7erpt2bf4u5vwfji6i5ann5qa3lmp5fpopohkgkhs2mo67vbfp557zvyqja,"f01874058
"
25,f3wsb53zdnexr5mequbhr5xlacxhj6txv76jhakpr5mnndh7grasaqng6kcyxuvu3rfgc2g5aapmk53egie2zq,"f0715168
"
26,f3qbvtpa7c3vzj64fi6qrkqlumuhws445bjfe6ndzur5thj3vha6cjifhf32b6ltjfi5ghfl5lfjwsecmk4zta,"f01104065
"
27,f3v76tffxdski2z3dtfnxmxnhjem4firjqc5nusywm6fusrwcfhkvhdsjvzavsydscjd3zduvrt3trt4df4a6q,"f01104494
"
